UID,Institution,Applican ID,PEP,Criminal,Expected employment key,Expected occupation key
10160,TW,621,NULL,NULL,C,009
10335,CAYMAN,327,NULL,NULL,C,047
10336,CAYMAN,64,NULL,NULL,C,047
10460,CAYMAN,148,NULL,NULL,C,047
10481,TW,169,NULL,NULL,C,004
10593,CAYMAN,993,NULL,NULL,C,027
10699,CAYMAN,996,NULL,NULL,C,055
10700,TW,1894,NULL,NULL,C,003
10726,CAYMAN,289,NULL,NULL,C,047
10757,TW,309,NULL,NULL,C,047
10787,CAYMAN,325,NULL,NULL,C,001
10813,CAYMAN,1981,NULL,NULL,C,003
10833,CAYMAN,345,NULL,NULL,C,047
10853,CAYMAN,349,NULL,NULL,C,047
10898,TW,371,NULL,NULL,C,047
10900,CAYMAN,1321,NULL,NULL,C,004
10943,CAYMAN,1627,NULL,NULL,C,047
10956,CAYMAN,1065,NULL,NULL,C,047
10990,CAYMAN,410,NULL,NULL,C,003
11001,TW,416,NULL,NULL,C,052
11030,CAYMAN,435,NULL,NULL,C,047
11064,CAYMAN,453,NULL,NULL,C,004
11066,TW,455,NULL,NULL,C,047
11090,CAYMAN,487,NULL,NULL,C,031
11112,CAYMAN,1003,NULL,NULL,C,047
11146,TW,559,NULL,NULL,C,031
11197,CAYMAN,1241,NULL,NULL,C,003
11269,CAYMAN,972,NULL,NULL,C,053
11299,CAYMAN,670,NULL,NULL,C,003
11320,CAYMAN,1031,NULL,NULL,C,015
11373,TW,731,NULL,NULL,C,047
11421,TW,773,NULL,NULL,C,047
11439,CAYMAN,1070,NULL,NULL,C,055
11446,TW,779,NULL,NULL,C,009
11480,TW,1757,NULL,NULL,C,003
11492,TW,817,NULL,NULL,C,031
11535,TW,849,NULL,NULL,C,055
11536,TW,851,NULL,NULL,C,055
11570,CAYMAN,874,NULL,NULL,C,047
11576,CAYMAN,882,NULL,NULL,C,047
11611,CAYMAN,915,NULL,NULL,C,003
11625,TW,927,NULL,NULL,C,059
11646,TW,944,NULL,NULL,C,047
11710,CAYMAN,1067,NULL,NULL,C,009
11726,CAYMAN,1091,NULL,NULL,C,047
11730,CAYMAN,1103,NULL,NULL,C,003
11881,TW,1284,NULL,NULL,C,055
11973,CAYMAN,2411,NULL,NULL,C,003
11996,TW,2434,NULL,NULL,C,066
12048,CAYMAN,2486,NULL,NULL,C,047
12107,TW,2545,NULL,NULL,C,003
12115,CAYMAN,2553,NULL,NULL,C,047
12116,TW,2554,NULL,NULL,C,047
12207,TW,2645,NULL,NULL,C,031
12288,CAYMAN,2726,NULL,NULL,C,053
12308,CAYMAN,2746,NULL,NULL,C,047
12356,TW,2794,NULL,NULL,C,047
12394,CAYMAN,2832,NULL,NULL,C,047
12448,CAYMAN,2886,NULL,NULL,C,027
12450,CAYMAN,2888,NULL,NULL,C,015
12477,CAYMAN,2916,NULL,NULL,C,047
12481,CAYMAN,2920,NULL,NULL,C,047
12488,CAYMAN,2927,NULL,NULL,C,047
12491,CAYMAN,2930,NULL,NULL,C,003
12493,CAYMAN,2932,NULL,NULL,C,047
12496,CAYMAN,2935,NULL,NULL,C,047
